"species","CHELSA_BIOL_01","CHELSA_BIOL_02","CHELSA_BIOL_03","CHELSA_BIOL_04","CHELSA_BIOL_05","CHELSA_BIOL_06","CHELSA_BIOL_07","CHELSA_BIOL_08","CHELSA_BIOL_09","CHELSA_BIOL_10","CHELSA_BIOL_11","CHELSA_BIOL_12","CHELSA_BIOL_13","CHELSA_BIOL_14","CHELSA_BIOL_15","CHELSA_BIOL_16","CHELSA_BIOL_17","CHELSA_BIOL_18","CHELSA_BIOL_19","clade","MAT","MAP"
"Portulaca amilis",203.632729245614,76.0429615789474,358.851350210526,5012.34371145614,304.884873210526,84.5343116491228,220.302644421053,260.816322491228,169.230266807018,267.321442754386,132.381645824561,1274.6162612807,175.334807438596,55.3658370175439,38.2951415087719,506.887524,177.236372824561,463.685497087719,233.577548684211,"Portulaca",20.3632729245614,127.46162612807
"Portulaca australis",251.651502646341,83.3246674390244,460.659838780488,2932.99872726829,332.875435487805,153.239732109756,179.62065695122,276.038954390244,218.449583939024,286.051850353659,203.898208256098,965.626344865854,228.029384121951,6.77860390243902,97.9568523414634,656.28608802439,22.420071695122,334.027597170732,30.230930804878,"Portulaca",25.1651502646341,96.5626344865854
"Portulaca bicolor",250.198224529032,90.5566704967742,477.755067241935,2904.9949474871,336.147517609677,146.012238370968,190.114797077419,271.85912893871,217.202966264516,284.746708058065,202.118792748387,981.175723658064,229.724323470968,6.75907904193548,98.6888468967742,666.647800377419,23.1024306967742,293.816947793548,30.9049595580645,"Portulaca",25.0198224529032,98.1175723658065
"Portulaca brevifolia",234.296614307692,54.9756387692308,613.233708153846,616.726898153846,286.732490076923,196.661726769231,89.9298988461538,229.154808692308,239.608319692308,242.983552230769,225.491987923077,2068.96950607692,366.090508153846,30.6327986923077,65.9864026923077,1049.64159453846,95.8833765384615,121.724904692308,895.608893230769,"Portulaca",23.4296614307692,206.896950607692
"Portulaca clavigera",261.809272,86.3863448888889,515.083899666667,1994.43385144444,336.062713555556,168.193123555556,167.913448777778,269.774563222222,235.557724,285.939510777778,226.691936666667,1232.87047,319.864491777778,0.333333333333333,112.432645333333,913.625020333333,7.16728566666667,224.777884777778,17.9655914444444,"Portulaca",26.1809272,123.287047
"Portulaca confertifolia",162.383792454545,95.816674,394.343245,4873.94200536364,268.943645181818,26.0951925454545,242.993454,215.611784545455,99.8098526363636,221.766668181818,87.1488660909091,254.621342,58.7096947272727,2.85692209090909,95.1162518181818,162.156259727273,9.58569945454546,151.563305181818,10.7921613636364,"Portulaca",16.2383792454545,25.4621342
"Portulaca cryptopetala",210.067463703704,81.1849682962963,438.096774592593,3583.91147181481,296.805353777778,108.725328148148,188.185078962963,236.951657333333,167.693159555556,255.112952333333,155.998329703704,1229.09979362963,167.706977259259,46.975673037037,47.0827297777778,472.863220222222,148.275751185185,413.750969259259,184.325801962963,"Portulaca",21.0067463703704,122.909979362963
"Portulaca cyclophylla",259.998377807692,106.115192076923,427.183628961538,4983.33666984615,373.490689769231,123.421105923077,250.131352961538,308.329149653846,248.859761153846,319.549240076923,183.321698153846,336.693068269231,80.5751536538462,1.55936626923077,86.8736798846154,227.3569655,7.16228565384615,148.724571846154,51.4750661538462,"Portulaca",25.9998377807692,33.6693068269231
"Portulaca decipiens",262.662074564103,107.099037769231,440.046730205128,4475.388747,367.958976564103,123.21081874359,244.766171153846,303.055713384615,212.10650674359,312.110116051282,188.446017538462,464.350909923077,120.202623051282,2.11092538461538,101.049884025641,338.579728358974,9.19606497435897,172.818612897436,17.0995805641026,"Portulaca",26.2662074564103,46.4350909923077
"Portulaca dhofarica",249.390255333333,69.8396302222222,430.659593333333,2734.88281255556,329.359849777778,168.578487111111,160.799679333333,257.216523888889,265.836480111111,286.305860666667,209.208852222222,117.023243333333,23.1740725555556,0.120373111111111,64.4655814444444,52.9018956666667,6.27063688888889,31.1208355555556,17.9792357777778,"Portulaca",24.9390255333333,11.7023243333333
"Portulaca digyna",267.494854106061,104.657509204545,462.477315727273,3797.19727124242,365.442518287879,137.680386977273,227.713948242424,296.24728880303,222.475402227273,309.49165530303,203.087679765152,586.637219765151,153.65138730303,1.52270545454545,107.627625015152,439.094836606061,7.660755,170.556784810606,14.8054862727273,"Portulaca",26.7494854106061,58.6637219765151
