"x"
"#3300FF"
"#3200FF"
"#3100FF"
"#3000FF"
"#2F00FF"
"#2E00FF"
"#2D00FF"
"#2C00FF"
"#2A00FF"
"#2900FF"
"#2800FF"
"#2700FF"
"#2600FF"
"#2500FF"
"#2400FF"
"#2300FF"
"#2200FF"
"#2100FF"
"#2000FF"
"#1F00FF"
"#1E00FF"
"#1D00FF"
"#1B00FF"
"#1A00FF"
"#1900FF"
"#1800FF"
"#1700FF"
"#1600FF"
"#1500FF"
"#1400FF"
"#1300FF"
"#1200FF"
"#1100FF"
"#1000FF"
"#0F00FF"
"#0E00FF"
"#0C00FF"
"#0B00FF"
"#0A00FF"
"#0900FF"
"#0800FF"
"#0700FF"
"#0600FF"
"#0500FF"
"#0400FF"
"#0300FF"
"#0200FF"
"#0100FF"
"#0000FF"
"#0001FF"
"#0003FF"
"#0004FF"
"#0005FF"
"#0006FF"
"#0007FF"
"#0008FF"
"#0009FF"
"#000AFF"
"#000BFF"
"#000CFF"
"#000DFF"
"#000EFF"
"#000FFF"
"#0010FF"
"#0012FF"
"#0013FF"
"#0014FF"
"#0015FF"
"#0016FF"
"#0017FF"
"#0018FF"
"#0019FF"
"#001AFF"
"#001BFF"
"#001CFF"
"#001DFF"
"#001EFF"
"#001FFF"
"#0021FF"
"#0022FF"
"#0023FF"
"#0024FF"
"#0025FF"
"#0026FF"
"#0027FF"
"#0028FF"
"#0029FF"
"#002AFF"
"#002BFF"
"#002CFF"
"#002DFF"
"#002EFF"
"#0030FF"
"#0031FF"
"#0032FF"
"#0033FF"
"#0034FF"
"#0035FF"
"#0036FF"
"#0037FF"
"#0038FF"
"#0039FF"
"#003AFF"
"#003BFF"
"#003CFF"
"#003DFF"
"#003FFF"
"#0040FF"
"#0041FF"
"#0042FF"
"#0043FF"
"#0044FF"
"#0045FF"
"#0046FF"
"#0047FF"
"#0048FF"
"#0049FF"
"#004AFF"
"#004BFF"
"#004CFF"
"#004EFF"
"#004FFF"
"#0050FF"
"#0051FF"
"#0052FF"
"#0053FF"
"#0054FF"
"#0055FF"
"#0056FF"
"#0057FF"
"#0058FF"
"#0059FF"
"#005AFF"
"#005BFF"
"#005DFF"
"#005EFF"
"#005FFF"
"#0060FF"
"#0061FF"
"#0062FF"
"#0063FF"
"#0064FF"
"#0065FF"
"#0066FF"
"#0067FF"
"#0068FF"
"#0069FF"
"#006AFF"
"#006CFF"
"#006DFF"
"#006EFF"
"#006FFF"
"#0070FF"
"#0071FF"
"#0072FF"
"#0073FF"
"#0074FF"
"#0075FF"
"#0076FF"
"#0077FF"
"#0078FF"
"#0079FF"
"#007BFF"
"#007CFF"
