species,decimalLongitude,decimalLatitude,countryCode,individualCount,gbifID,family,genus,taxonRank,scientificName,coordinateUncertaintyInMeters,year,basisOfRecord,institutionCode,collectionCode,occurrenceID,clade,CHELSA_BIOL_01,CHELSA_BIOL_02,CHELSA_BIOL_03,CHELSA_BIOL_04,CHELSA_BIOL_05,CHELSA_BIOL_06,CHELSA_BIOL_07,CHELSA_BIOL_08,CHELSA_BIOL_09,CHELSA_BIOL_10,CHELSA_BIOL_11,CHELSA_BIOL_12,CHELSA_BIOL_13,CHELSA_BIOL_14,CHELSA_BIOL_15,CHELSA_BIOL_16,CHELSA_BIOL_17,CHELSA_BIOL_18,CHELSA_BIOL_19
Calandrinia baccata,118.601452,-30.523178,AUS,NA,2829478347,Montiaceae,Calandrinia,SPECIES,Calandrinia baccata Obbens,100,2005,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,194.691055,106,391.081757,5885.572754,335.69104,63.691051,272,118.455017,225.577454,273.69104,113.691048,290.80365,37.044285,13.30895,32.918232,105.132858,41.126053,60.845081,105.132858
Calandrinia pygmaea,115.138562,-29.868238,AUS,NA,2829478167,Montiaceae,Calandrinia,SPECIES,Calandrinia granulifera Benth.,100,2003,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,203,66.144249,361.144257,3917.966309,301.144257,117.855751,183.144241,153,249,259,151.280807,512.527588,107,8,81,300.905334,25,38,240.391068
Calandrinia calyptrata,116.197778,-30.425,AUS,NA,2829477528,Montiaceae,Calandrinia,SPECIES,Calandrinia calyptrata Hook.f.,100,2005,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,187.362396,104,406,5180.871094,327,71.362396,256,120.362396,228.362396,261.362396,120.362396,417.304535,76.541733,9,67,222.591812,30.387434,51.912807,222.591812
Calandrinia remota,117.8667,-28.2167,AUS,NA,2829471685,Montiaceae,Calandrinia,SPECIES,Calandrinia remota J.M.Black & J.M.Black,NULL,1981,PRESERVED_SPECIMEN,CANB,CANB,NA,Calandrinia,217.512695,111,387,6291.079102,360,74,286,129.245682,204,301.512695,129.245682,226.507584,33.253792,6,47.487305,94.228401,19,76.766487,94.228401
Calandrinia polyandra,114.4333,-27.55,AUS,NA,2829467429,Montiaceae,Calandrinia,SPECIES,Calandrinia polyandra Benth.,NULL,1981,PRESERVED_SPECIMEN,CANB,CANB,NA,Calandrinia,216.561615,85.764542,396.248688,4223.859863,329.326141,112.797073,216.529083,158.797073,243.561615,276.561615,158.797073,290.775879,65.647377,4,85.693146,183.001129,13,34.49654,183.001129
Calandrinia liniflora,115.760817,-33.108542,AUS,NA,2829465317,Montiaceae,Calandrinia,SPECIES,Calandrinia liniflora Fenzl,100,2007,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,176,62,379,3319.878418,270.908966,107,164.41423,136,224.40062,224.40062,134,1011.589233,204.693588,15.400623,80.094124,591.898743,50.90588,50.90588,479.265839
Calandrinia eremaea,119.6833,-31.3,AUS,NA,2829464746,Montiaceae,Calandrinia,SPECIES,Calandrinia eremaea Ewart,NULL,1981,PRESERVED_SPECIMEN,CANB,CANB,NA,Calandrinia,188.764542,104,399,5525.597656,326,64.764542,261,129.764542,238.512817,262.264954,112.51281,291.258179,44.97438,13.235461,39,123.923134,40.958111,58.697029,118.419678
Calandrinia calyptrata,117.817582,-31.557642,AUS,NA,2829450995,Montiaceae,Calandrinia,SPECIES,Calandrinia calyptrata Hook.f.,100,2001,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,182.400345,104,403,5354.979004,322.40036,63.776119,259,118.639023,229.25087,256.40036,112.250877,336.717987,52.973003,12,48.223881,149.420761,38,48.751545,149.420761
Calandrinia pygmaea,116.822222,-31.402778,AUS,NA,2829442033,Montiaceae,Calandrinia,SPECIES,Calandrinia granulifera Benth.,100,2008,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,183.816666,101,403,5114.367676,322.666962,71.483513,251,117.816666,225.816666,256.483521,117.816666,405.048309,74.733109,10.333151,66.033401,216.498962,34.666302,46.999454,216.498962
Calandrinia corrigioloides,115.866111,-31.836111,AUS,NA,2829441239,Montiaceae,Calandrinia,SPECIES,Calandrinia corrigioloides F.Muell. ex Benth.,100,2003,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,186.082535,69,371,3873.815674,291.16507,105.531578,185.450134,138.082535,234.165085,242.165085,137.082535,821.765015,171.599548,10,84.733246,501.696716,30.917458,40,418.212769
Calandrinia calyptrata,119.559523,-31.743734,AUS,NA,2829436802,Montiaceae,Calandrinia,SPECIES,Calandrinia calyptrata Hook.f.,100,1994,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,181,103,404.248993,5284.327637,316.908569,61.908554,255,125.908554,228,251.908554,108.908554,322.761444,43.182888,16.609045,32.964802,123.548668,49.827133,64.827133,120.400978
Calandrinia remota,114.4667,-27.8,AUS,NA,2829430008,Montiaceae,Calandrinia,SPECIES,Calandrinia remota J.M.Black & J.M.Black,1000,1983,PRESERVED_SPECIMEN,CANB,CBG,NA,Calandrinia,208.30661,81.520805,391,4093.184326,316.30661,108.269096,208.520813,152.538193,234.30661,266.30661,152.538193,335.199005,76.32917,4,86.693398,213.525726,14,35.4618,213.525726
Calandrinia sculpta,116.9411,-29.845,AUS,NA,2829429313,Montiaceae,Calandrinia,SPECIES,Calandrinia sculpta Obbens & J.G.West,50,2003,PRESERVED_SPECIMEN,CANB,CANB,NA,Calandrinia,202,107,397,5738.990234,345.883301,74.935677,271,144,251,281.883301,125,286.651459,48.06432,9.116695,54.714233,134.732208,29.350086,45.245338,133.166702
Calandrinia eremaea,117.083444,-30.149361,AUS,NA,2829425598,Montiaceae,Calandrinia,SPECIES,Calandrinia eremaea Ewart,100,2008,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,199.593369,106,396.191071,5681.64502,342,74,268,142,248,278,124,293.442322,53,10,59,146,30,41,144.442337
Calandrinia polyandra,114.6333,-28.35,AUS,NA,2829416958,Montiaceae,Calandrinia,SPECIES,Calandrinia polyandra Benth.,NULL,1981,PRESERVED_SPECIMEN,CANB,CANB,NA,Calandrinia,204.735031,79.51281,388.02951,4044.699951,310.735046,106.222229,204.512802,150.487198,249.97049,261.97049,150.487198,433.002045,93.764542,5,83.966606,262.822693,18.033392,30.045773,262.822693
Calandrinia pygmaea,118.814778,-31.993917,AUS,NA,2829416269,Montiaceae,Calandrinia,SPECIES,Calandrinia granulifera Benth.,100,2009,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,177.218597,103,407.53476,5212.365723,313.290161,59.290169,254,123.508766,223.218597,247.508774,107.043518,350.342102,53.69437,14.534747,42.915047,150.301712,46.60424,64.60424,148.013611
Calandrinia eremaea,120.131172,-30.742884,AUS,NA,2829415878,Montiaceae,Calandrinia,SPECIES,Calandrinia eremaea Ewart,100,1995,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,190,105,398,5662.464844,326.467346,61.904583,265,127.904587,237.043518,265,111,276.497162,38,14.162036,30.837965,104.095413,42.58152,55.611637,100
Calandrinia schistorhiza,119.94844,-26.694364,AUS,NA,2829415209,Montiaceae,Calandrinia,SPECIES,Calandrinia schistorhiza Morrison,100,2006,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,229.459,114,389,6418.928711,366.652039,74.459007,292.193024,302.075256,183.459,314.459015,134.459,254.062286,37.477371,5,46.670391,103.761726,20,78.888969,64.540993
Calandrinia ptychosperma,116.721833,-28.012722,AUS,NA,2829414554,Montiaceae,Calandrinia,SPECIES,Calandrinia ptychosperma F.Muell.,100,2008,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,216.009949,114,399.008575,6067.185059,361.009949,76,286,149.092941,237,299,132,247.240982,37,8,46.145351,105.270821,25,69.260872,105.270821
Calandrinia corrigioloides,114.589167,-27.548611,AUS,NA,2829414370,Montiaceae,Calandrinia,SPECIES,Calandrinia corrigioloides F.Muell. ex Benth.,100,2003,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,210,95.148186,407.148193,4494.85791,332.148193,98.535187,234.148193,148.535187,240.148193,274,148.535187,313.870331,66.851814,5.464812,78.78315,188.555435,16.929625,43.137318,188.555435
Calandrinia eremaea,118.341944,-30.760278,AUS,NA,2829402712,Montiaceae,Calandrinia,SPECIES,Calandrinia eremaea Ewart,100,2004,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,197,106,392.844147,5815.666992,339,68,270,136,249,275.155853,118,264.704865,39.716663,10,43.266754,112.433327,32,47.860722,110.505127
Calandrinia hortiorum,116.305944,-27.216694,AUS,NA,2829402685,Montiaceae,Calandrinia,SPECIES,Calandrinia hortiorum Obbens,100,2008,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,227.881866,116,402.888031,6097.101562,372.881866,83.881866,289,142,212.507248,310.111969,142,235.885635,35.236263,7,47.11813,99.708786,25,73.209427,99.708786
Calandrinia pygmaea,117.25143,-28.748731,AUS,NA,2829399894,Montiaceae,Calandrinia,SPECIES,Calandrinia granulifera Benth.,100,1997,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,213,111,392.539459,6105.557129,358,75,283,148.896851,234.896851,296,129,278.06308,42.331024,7.688409,50.539471,123.914131,23.37682,79.460533,110.374657
Calandrinia pumila,117.3818,-30.064555,AUS,NA,2829396431,Montiaceae,Calandrinia,SPECIES,Calandrinia pumila F.Muell.,100,2006,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,197.486206,107,394.667206,5804.380371,340.486206,69,272,138,248.153397,277.153381,119.153389,347.106049,59.386799,12,51.310287,165.1604,36.076515,58.742134,156.467178
Calandrinia pygmaea,115.781195,-31.343774,AUS,NA,2829396420,Montiaceae,Calandrinia,SPECIES,Calandrinia granulifera Benth.,100,1993,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,191,75.068649,379.068634,4103.123047,301.068634,103,198.260208,139,241.068649,249.455383,138,685.656738,140.931351,9,84,421.794067,31,41,344.794067
Calandrinia brevipedata,114.984256,-29.853712,AUS,NA,2829394088,Montiaceae,Calandrinia,SPECIES,Calandrinia brevipedata F.Muell.,100,2003,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,204.372467,55.044716,342.627533,3555.810547,290.627533,129,161.627533,159.372467,245,255,157.372467,545.574463,115.973457,8,83,327.97345,25,38,264
Calandrinia translucens,114.746962,-26.639849,AUS,NA,2829380799,Montiaceae,Calandrinia,SPECIES,Calandrinia translucens Obbens,100,1995,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,227.959625,106.37706,413.040375,5014.275391,362,104,258,158,237,298.111877,158,232.152252,45,4,68,127,13,54,127
Calandrinia baccata,120.58,-30.06,AUS,NA,2829380796,Montiaceae,Calandrinia,SPECIES,Calandrinia baccata Obbens,100,2011,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,194.683304,108,398,5848.132812,330.720306,60,271,248,185.720291,272,112,273.112976,31,11,28.316696,90,39,61,82.950089
Calandrinia eremaea,117.099843,-29.099579,AUS,NA,2829380451,Montiaceae,Calandrinia,SPECIES,Calandrinia eremaea Ewart,100,2005,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,204.783936,110,395,5965.494629,349.216736,70.501488,278.499725,142.50148,224.50148,286.501495,123.501488,336.766174,56.132675,9.717544,54.13443,161.402084,29.435087,76.996483,138.338654
Calandrinia tholiformis,115.302103,-30.708306,AUS,NA,2829375488,Montiaceae,Calandrinia,SPECIES,Calandrinia tholiformis Obbens,100,2005,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,195,69,371.769165,3887.801514,296.889191,111,185.769165,146,241.769165,250.889191,144.889191,582.615723,122.341637,7,84,357.024902,25,39,287.563232
Calandrinia papillata,115.803056,-26.781417,AUS,NA,2829375372,Montiaceae,Calandrinia,SPECIES,Calandrinia papillata S.T.Syeda,100,2008,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,229.97049,117,408,5925.773926,374.746643,87.659691,287,151.979889,213.97049,310.746643,146.659698,207.282852,36,4,58.970493,98,16,64,98
Calandrinia eremaea,119.2833,-31.2167,AUS,NA,2829363078,Montiaceae,Calandrinia,SPECIES,Calandrinia eremaea Ewart,NULL,1981,PRESERVED_SPECIMEN,CANB,CANB,NA,Calandrinia,191.262909,105,396,5662.499512,331,65,266,131,242.512695,267,114,275.935974,40.487305,12.24978,39.237526,113.461914,39.499557,47.499557,109.461914
Calandrinia eremaea,117.2667,-29.4167,AUS,NA,2829362936,Montiaceae,Calandrinia,SPECIES,Calandrinia eremaea Ewart,NULL,1981,PRESERVED_SPECIMEN,CANB,CANB,NA,Calandrinia,201.737045,109,393.991882,5930.064941,345.257843,69.004059,276.487305,139.737045,221.257858,282.73703,120.737045,344.662048,56.009163,10.245679,55.033504,167.035614,31.970549,71.017281,147.96048
Calandrinia eremaea,116.075889,-27.221722,AUS,NA,2829359329,Montiaceae,Calandrinia,SPECIES,Calandrinia eremaea Ewart,100,2008,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,226.432587,117,406,6003.527832,372.432587,83.432587,288.432587,161.543777,233.389908,308.432587,142.432587,220.522537,35.56741,6,50.910057,97.792175,21.657354,64.016937,96.882118
Calandrinia calyptrata,117.702017,-30.66365,AUS,NA,2829358103,Montiaceae,Calandrinia,SPECIES,Calandrinia calyptrata Hook.f.,100,2003,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,189.211899,107,396.092041,5702.971191,331.878693,62.878696,269,115.06218,239.090591,267.878693,112.878693,351.7052,61.909409,12.092052,56.027794,170.030716,37.668255,52.548412,169.909409
Calandrinia liniflora,116.986111,-35.006944,AUS,NA,2829357773,Montiaceae,Calandrinia,SPECIES,Calandrinia liniflora Fenzl,100,2005,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,159.683411,43,380.683411,2336.94873,222.533539,108.952553,113.683411,131.683411,192.635971,192.635971,128.95256,1133.672974,181.092102,25.364035,57.683414,532.54071,78.630379,78.630379,484.114319
Calandrinia baccata,115.4422,-28.9083,AUS,NA,2829357276,Montiaceae,Calandrinia,SPECIES,Calandrinia baccata Obbens,100,2008,PRESERVED_SPECIMEN,CANB,CANB,NA,Calandrinia,202.580811,101,401.520691,5055.678223,334.580811,82.580811,251.799072,138.727966,239.580811,273.580811,134.580811,387.529053,77.577347,7.419191,72.218269,212.85228,23.838383,40,212.85228
Calandrinia porifera,119.234536,-31.495798,AUS,NA,2829347090,Montiaceae,Calandrinia,SPECIES,Calandrinia porifera S.T.Syeda,100,2000,PRESERVED_SPECIMEN,PERTH,PERTH,NA,Calandrinia,183.661133,104.020935,400,5499.457031,322.647278,60.661129,261.013855,125.661133,233,257.661133,108.661133,328.545105,47.705769,16,36.359806,132.771347,50.007095,64.677742,131.11731
