"species","decimalLongitude","decimalLatitude","countryCode","individualCount","gbifID","family","genus","taxonRank","scientificName","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","collectionCode","occurrenceID","clade","CHELSA_BIOL_01","CHELSA_BIOL_02","CHELSA_BIOL_03","CHELSA_BIOL_04","CHELSA_BIOL_05","CHELSA_BIOL_06","CHELSA_BIOL_07","CHELSA_BIOL_08","CHELSA_BIOL_09","CHELSA_BIOL_10","CHELSA_BIOL_11","CHELSA_BIOL_12","CHELSA_BIOL_13","CHELSA_BIOL_14","CHELSA_BIOL_15","CHELSA_BIOL_16","CHELSA_BIOL_17","CHELSA_BIOL_18","CHELSA_BIOL_19","MAT","BasisOfRecord"
"Anacampseros subnuda",28.625,-24.625,"ZAF","NA","453145385","Anacampserotaceae","Anacampseros","SPECIES","Anacampseros subnuda Poelln.","NULL",2000,NA,"SANBI","PRECIS","NA","Anacampserotaceae",189.516769,121,504,4003.034668,286.283234,45.516766,241,224.783783,121.283218,231.783783,121.283218,724.614868,137.732925,3,82.249687,397.198761,12,335.182495,12,18.9516769,"PRESERVED_SPECIMEN"
"Anacampseros subnuda",30.125,-25.125,"ZAF","NA","453145384","Anacampserotaceae","Anacampseros","SPECIES","Anacampseros subnuda Poelln.","NULL",1997,NA,"SANBI","PRECIS","NA","Anacampserotaceae",172.95018,115,521.249756,3466.399902,262.449615,42.199944,220,203.95018,113.950188,210.95018,113.950188,496.862549,88.665916,3.249755,77.249687,264.730743,11.49951,209.882065,11.49951,17.295018,"PRESERVED_SPECIMEN"
"Grahamia australiana",129.134651,-24.881943,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Grahamia australiana (J.M.Black) G.D.Rowley","900",1978,NA,"DNA","DNA","DNA:DNA:DNA A0058058","Anacampserotaceae",217.272781,115,398.316467,6270.181641,346.272797,57.589264,288.683533,291.272797,138.486374,294.272797,120.589264,331.207123,58.094254,10.316481,51.683517,155.385651,32.949444,120.172073,43.632961,21.7272781,"PreservedSpecimen"
"Grahamia australiana",129.6783,-25.9811,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Grahamia australiana (J.M.Black) G.D.Rowley","100",2009,NA,"DNA","NT","DNA:NT:NT D0193964","Anacampserotaceae",181.911392,118,411.480255,6063.385254,314.646454,27.12669,286.803467,256.911377,105.911385,257.627686,90.126686,424.763397,70.972519,13,43.844402,185.985977,45,140.122803,66,18.1911392,"PreservedSpecimen"
"Grahamia australiana",129.05132,-24.715277,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Grahamia australiana (J.M.Black) G.D.Rowley","900",1972,NA,"DNA","DNA","DNA:DNA:DNA A0034771","Anacampserotaceae",225.241302,115,395.58902,6310.379883,354.019287,64.821983,289.41098,299.019287,145.821991,302.019287,127.924805,346.031738,61.792767,10.905516,53.683491,166.789291,34.494522,129.611282,44.733963,22.5241302,"PreservedSpecimen"
"Grahamia australiana",129.0003,-24.7172,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Grahamia australiana (J.M.Black) G.D.Rowley","100",2000,NA,"DNA","DNA","DNA:DNA:DNA A0100585","Anacampserotaceae",230.415909,115,393.792053,6359.384766,359.920898,68.71846,290.755249,304.171173,149.71846,307.718475,131.963211,303.80423,54.270512,9.994487,53.244747,146.77475,31.233719,113.9459,39.483978,23.0415909,"PreservedSpecimen"
"Grahamia australiana",129.084415,-24.915409,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Anacampseros australiana J.M.Black","1000",1973,NA,"AD","AD","AD:AD:AD 97345289","Anacampserotaceae",223.978943,115,396.021057,6339.625977,353.31131,62.978943,290.214905,298.31131,143.978943,301.31131,125.978943,337.608734,59.576168,10.353415,52.431686,159.568924,33.081306,123.249771,44.123421,22.3978943,"PreservedSpecimen"
"Grahamia australiana",129.084647,-24.915278,"AUS","NA","NA","Portulacaceae","Anacampseros","species","Grahamia australiana (J.M.Black) G.D.Rowley","900",1973,NA,"DNA","DNA","DNA:DNA:DNA A0045446","Anacampserotaceae",223.991058,115,396.008942,6339.723145,353.307709,62.991058,290.213562,298.307709,143.991058,301.307709,125.991058,337.027161,59.473408,10.325597,52.46085,159.29924,32.985729,123.057266,44.003613,22.3991058,"PreservedSpecimen"
"Grahamia australiana",129.084415,-24.915409,"AUS","NA","2828514348","Anacampserotaceae","Grahamia","SPECIES","Anacampseros australiana J.M.Black","1000",1973,NA,"AD","AD","NA","Anacampserotaceae",223.979004,115,396.020996,6339.626465,353.311371,62.978996,290.214935,298.311371,143.979004,301.311371,125.978996,337.607056,59.575859,10.353385,52.43169,159.568115,33.081158,123.249184,44.123165,22.3979004,"PRESERVED_SPECIMEN"
"Grahamia australiana",129.0003,-24.7172,"AUS","NA","2826969516","Anacampserotaceae","Grahamia","SPECIES","Anacampseros australiana J.M.Black","100",2000,NA,"DNA","NT","NA","Anacampserotaceae",230.415909,115,393.792053,6359.384766,359.920898,68.71846,290.755249,304.171173,149.71846,307.718475,131.963211,303.80423,54.270512,9.994487,53.244747,146.77475,31.233719,113.9459,39.483978,23.0415909,"PRESERVED_SPECIMEN"
