"species","decimalLongitude","decimalLatitude","countryCode","individualCount","gbifID","family","genus","taxonRank","scientificName","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","collectionCode","occurrenceID","clade","CHELSA_BIOL_01","CHELSA_BIOL_02","CHELSA_BIOL_03","CHELSA_BIOL_04","CHELSA_BIOL_05","CHELSA_BIOL_06","CHELSA_BIOL_07","CHELSA_BIOL_08","CHELSA_BIOL_09","CHELSA_BIOL_10","CHELSA_BIOL_11","CHELSA_BIOL_12","CHELSA_BIOL_13","CHELSA_BIOL_14","CHELSA_BIOL_15","CHELSA_BIOL_16","CHELSA_BIOL_17","CHELSA_BIOL_18","CHELSA_BIOL_19","MAT","BasisOfRecord"
"Portulaca L.",138.6011,-34.932059,"AUS","NA","2435087585","Portulacaceae","Portulaca","GENUS","Portulaca L.","1000",1947,"PRESERVED_SPECIMEN","AD","AD","NA","Portulaca",160.116028,61,367.31842,3500.573975,253.214355,86.565544,166.883972,113,210.330383,210.330383,113,588.42572,82.297638,19,46.648819,241.244095,59,59,241.244095,16.0116028,NA
"Portulaca L.",138.6011,-34.932059,"AUS","NA","2827770065","Portulacaceae","Portulaca","GENUS","Portulaca L.","1000",1947,"PRESERVED_SPECIMEN","AD","AD","NA","Portulaca",160.116028,61,367.31842,3500.573975,253.214355,86.565544,166.883972,113,210.330383,210.330383,113,588.42572,82.297638,19,46.648819,241.244095,59,59,241.244095,16.0116028,NA
"Portulaca L.",138.6011,-34.932059,"AUS","NA","NULL","Portulacaceae","Portulaca","genus","Portulaca","1000",1947,"PreservedSpecimen","AD","AD","AD:AD:AD 97413364","Portulaca",160.116043,61,367.31839,3500.57373,253.214355,86.565567,166.883957,113,210.330383,210.330383,113,588.425415,82.297562,19,46.648781,241.243912,59,59,241.243912,16.0116043,NA
"Portulaca L.",20.375,-34.375,"ZAF","NA","462186550","Portulacaceae","Portulaca","GENUS","Portulaca L.","NULL",1968,"PRESERVED_SPECIMEN","SANBI","PRECIS","NA","Portulaca",173.233688,63.516693,412.999939,2972.916992,249.716934,96.449989,153.516693,133.96669,210.233688,214.233688,133.467239,445.243988,53.249546,23.799765,25.182913,147.397598,73.3993,83.899788,125.130737,17.3233688,NA
"Portulaca eruca",-65.5775,-34.022222,"ARG","NA","2248045546","Portulacaceae","Portulaca","SPECIES","Portulaca eruca Hauman","NULL",1957,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",160,91,372,5330.200684,273.815765,29,244.117447,231,81,231,81,701.965698,110,16,61.815777,329,49,329,49,16,NA
"Portulaca L.",150.93,-33.93,"AUS","NA","2829096177","Portulacaceae","Portulaca","GENUS","Portulaca L.","1000",1989,"PRESERVED_SPECIMEN","NSW","NSW","NA","Portulaca",178,61.883175,366.883179,3721.751709,260,92.107094,167.883179,215.107086,149,227.107086,123.116829,846.651611,100.726295,42.116825,25.883175,297.145355,132.350479,286.088043,169.570068,17.8,NA
"Portulaca L.",150.93,-33.93,"AUS","NA","2827544320","Portulacaceae","Portulaca","GENUS","Portulaca L.","1000",1989,"PRESERVED_SPECIMEN","NSW","NSW","NA","Portulaca",178,61.883175,366.883179,3721.751709,260,92.107094,167.883179,215.107086,149,227.107086,123.116829,846.651611,100.726295,42.116825,25.883175,297.145355,132.350479,286.088043,169.570068,17.8,NA
"Portulaca L.",150.93,-33.93,"AUS","NA","2438367286","Portulacaceae","Portulaca","GENUS","Portulaca L.","1000",1989,"PRESERVED_SPECIMEN","NSW","NSW","NA","Portulaca",178,61.883175,366.883179,3721.751709,260,92.107094,167.883179,215.107086,149,227.107086,123.116829,846.651611,100.726295,42.116825,25.883175,297.145355,132.350479,286.088043,169.570068,17.8,NA
"Portulaca wightiana",24.125,-33.625,"ZAF","NA","462186026","Portulacaceae","Portulaca","SPECIES","Portulaca collina Dinter","NULL",1985,"PRESERVED_SPECIMEN","SANBI","PRECIS","NA","Portulaca",153.11644,111,495,3640.466797,261.59967,37.11644,224.516693,106.849426,197.849426,202.59967,100.849426,532.983948,60.467171,35.216438,17.017183,167.900955,107.399559,111.649315,137.416534,15.311644,NA
"Portulaca eruca",-65.035833,-33.173889,"ARG","NA","2248047856","Portulacaceae","Portulaca","SPECIES","Portulaca eruca Hauman","NULL",2006,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",138.624115,89,375.1409,5102.655762,247.624115,10.624108,237,193.45578,62.209087,205.209091,62.209087,829.220337,144.399185,11.650014,68.216759,408.254913,38.30003,407.19754,38.30003,13.8624115,NA
"Portulaca quadrifida",24.875,-33.125,"ZAF","NA","462186462","Portulacaceae","Portulaca","SPECIES","Portulaca quadrifida L.","NULL",1979,"PRESERVED_SPECIMEN","SANBI","PRECIS","NA","Portulaca",183.516693,116.516693,509,3617.249512,294.516693,65.516693,229,221.783707,131.033463,232.516693,131.033463,267.16684,38.483307,11,34,106.21637,37,84.249825,37,18.3516693,NA
"Portulaca obtusa",-66.746944,-32.7525,"ARG","NA","2248045597","Portulacaceae","Portulaca","SPECIES","Portulaca obtusa Poelln.","NULL",1963,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",171.21669,90,360.808563,5435.206543,285.216705,35.216694,250,240.21669,105.307999,240.21669,89.216698,618.535156,122.666748,8,81.191437,350.69223,25,350.69223,28,17.121669,NA
"Portulaca L.",137.85108,-32.448719,"AUS","NA","2830007047","Portulacaceae","Portulaca","GENUS","Portulaca L.","1000",1997,"PRESERVED_SPECIMEN","AD","AD","NA","Portulaca",187,102,405,5107.095215,321,69.353584,251.883469,129.353577,235.786957,256.786957,114.237045,309.843292,34.64642,15.329586,27.316833,103.292839,47.872223,54.426102,101.232094,18.7,NA
"Portulaca L.",137.85108,-32.448719,"AUS","NA","NULL","Portulacaceae","Portulaca","genus","Portulaca sp.","1000",1997,"PreservedSpecimen","AD","AD","AD:AD:AD 99849090","Portulaca",187,102,405,5107.095215,321,69.353638,251.883453,129.353638,235.786987,256.786987,114.237099,309.842743,34.646362,15.329554,27.316807,103.292725,47.872116,54.426022,101.231804,18.7,NA
"Portulaca intraterranea",137.85108,-32.448719,"AUS","NA","NULL","Portulacaceae","Portulaca","species","Portulaca intraterranea J.M.Black","1000",1997,"PreservedSpecimen","AD","AD","AD:AD:AD 99849089","Portulaca",187,102,405,5107.095215,321,69.353638,251.883453,129.353638,235.786987,256.786987,114.237099,309.842743,34.646362,15.329554,27.316807,103.292725,47.872116,54.426022,101.231804,18.7,NA
"Portulaca eruca",-64.623889,-32.446667,"ARG","NA","2248047387","Portulacaceae","Portulaca","SPECIES","Portulaca eruca Hauman","NULL",2009,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",151.300079,88,373,5053.920898,259.383423,24.300083,236,216.383423,74.704224,216.383423,74.704224,917.053101,168.774796,11,73,482.266052,36,482.266052,36,15.1300079,NA
"Portulaca eruca",-64.68,-32.259444,"ARG","NA","2248046727","Portulacaceae","Portulaca","SPECIES","Portulaca eruca Hauman","NULL",2009,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",152.184921,88,372,5061.239258,261.184937,24.61969,236,217.568344,75.568344,217.568344,75.568344,973.451538,180.681488,12.648516,74,525.008423,39.945545,525.008423,39.945545,15.2184921,NA
"Portulaca eruca",-64.694444,-32.207222,"ARG","NA","2248047092","Portulacaceae","Portulaca","SPECIES","Portulaca eruca Hauman","NULL",2009,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",147.524246,88,372,5048.582031,255.707687,20.238495,236,212.643494,70.707687,212.643494,70.707687,905.225891,170.261734,10.714249,75,489.1521,33.492695,489.1521,33.492695,14.7524246,NA
"Portulaca L.",-66.648333,-32.213333,"ARG","NA","2248050491","Portulacaceae","Portulaca","GENUS","Portulaca L.","NULL",2015,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",194,88.023582,351,5515.17627,308.916748,56,252,264,127,264,109.916733,439.772827,92.366501,6,85,259.099518,18,259.099518,19,19.4,NA
"Portulaca intraterranea",140.851047,-32.198696,"AUS","NA","NULL","Portulacaceae","Portulaca","species","Portulaca intraterranea J.M.Black","1000",1997,"PreservedSpecimen","AD","AD","AD:AD:AD 99906141","Portulaca",182.673187,103,388,5710.80957,319.673187,53,266,174.790024,194.790024,259.673187,100.790031,220,24,15,14,65,48,58,50,18.2673187,NA
"Portulaca quadrifida",26.459722,-32.143611,"ZAF","NA","2005482549","Portulacaceae","Portulaca","SPECIES","Portulaca quadrifida L.","NULL",2008,"PRESERVED_SPECIMEN","NA","NA","NA","Portulaca",142.110229,115,505,3736.133301,250.303879,22.110222,228.089722,178.883347,84.793625,190.883347,84.793625,460.315857,65.360535,18.400032,38.599968,185.087875,55.883499,158.100433,55.883499,14.2110229,NA
"Portulaca confertifolia",-68.742194,-31.987944,"ARG","1","2425457111","Portulacaceae","Portulaca","SPECIES","Portulaca confertifolia Hauman","NULL",2018,"PRESERVED_SPECIMEN","MO","MO","NA","Portulaca",146.353897,110.983414,411,5497.830566,275.353912,6.333908,269,209.333908,119.333908,216.333908,66.333908,116.993279,28.506615,2,88.470032,73.486664,7,71.029816,11.073171,14.6353897,NA
"Portulaca eruca",-64.7,-31.983333,"ARG","NA","2248050909","Portulacaceae","Portulaca","SPECIES","Portulaca eruca Hauman","1000",1946,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",136.216263,87,372,5017.966309,244.483261,9.73298,235,200.732986,60.483265,200.732986,60.483265,947.969788,178.816696,12.033457,75.249725,515.451233,37.33392,515.451233,37.33392,13.6216263,NA
"Portulaca intraterranea",141.524167,-31.9225,"AUS","NA","NULL","Portulacaceae","Portulaca","species","Portulaca intraterranea J.M.Black","15",2008,"PreservedSpecimen","AD","AD","AD:AD:AD 221380","Portulaca",183.416855,103,383,5858.417969,320.893097,51,269.893097,176.340454,111.340446,262.233551,99.416862,208.629822,20.923588,14.476247,10.894681,58.847176,44.476246,54.87608,45.952492,18.3416855,NA
"Portulaca eruca",-64.25,-31.916667,"ARG","1","1258635132","Portulacaceae","Portulaca","SPECIES","Portulaca eruca Hauman","NULL",1978,"PRESERVED_SPECIMEN","MO","MO","NA","Portulaca",169.766403,87,371,5022.249512,278.516663,43.766411,235,234.766403,107.516655,234.766403,93.766411,863.969421,154.750381,12.750313,71,448.251129,39.500626,448.251129,42,16.9766403,NA
"Portulaca hereroensis",23.125,-31.625,"ZAF","NA","462186106","Portulacaceae","Portulaca","SPECIES","Portulaca hereroensis Schinz","NULL",2000,"PRESERVED_SPECIMEN","SANBI","PRECIS","NA","Portulaca",155.516769,129,466,5124.033203,291.266998,15,276.516693,203.267014,80,221.267014,80,226.465561,39.999931,7,56.750244,115.249474,21,93.499161,21,15.5516769,NA
"Portulaca umbraticola",-64.668056,-31.573333,"ARG","NA","2248045601","Portulacaceae","Portulaca","SPECIES","Portulaca umbraticola Kunth","1000",1956,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",129.799149,86,370.649994,4985.163086,237.515884,4.265024,233,193.799149,65.938179,193.799149,54.265022,1028.439697,194.834122,13,75,546.870605,39.18412,546.870605,40,12.9799149,NA
"Portulaca confertifolia",-68.679194,-31.426472,"ARG","1","2425456637","Portulacaceae","Portulaca","SPECIES","Portulaca confertifolia Hauman","NULL",2018,"PRESERVED_SPECIMEN","MO","MO","NA","Portulaca",172,112,414.986572,5425.646484,300.008881,29,271,231.008865,143.348923,239.013443,91,79.99543,17,2,81,51,6,43,8,17.2,NA
"Portulaca L.",-67.1,-31.41666,"ARG","NA","1259524726","Portulacaceae","Portulaca","GENUS","Portulaca L.","NULL",1971,"PRESERVED_SPECIMEN","MO","MO","NA","Portulaca",198.749908,90,346,5642.216797,314.749908,56,259,260,111.749908,268.749908,111.749908,271.381409,62.716465,3,92,173.683029,10.233185,169.165527,10.233185,19.8749908,NA
"Portulaca L.",-67.1,-31.41666,"ARG","NA","1259524841","Portulacaceae","Portulaca","GENUS","Portulaca L.","NULL",1971,"PRESERVED_SPECIMEN","MO","MO","NA","Portulaca",198.749908,90,346,5642.216797,314.749908,56,259,260,111.749908,268.749908,111.749908,271.381409,62.716465,3,92,173.683029,10.233185,169.165527,10.233185,19.8749908,NA
"Portulaca L.",-67.029167,-31.415278,"ARG","NA","2248043511","Portulacaceae","Portulaca","GENUS","Portulaca L.","NULL",2003,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",197,89,345,5621.960449,313,55.311382,257,259,111,267,111,278.066711,64.016678,3,91.016678,176.050049,10,173.050049,10,19.7,NA
"Portulaca L.",-67.1,-31.41666,"ARG","NA","1259524758","Portulacaceae","Portulaca","GENUS","Portulaca L.","NULL",1971,"PRESERVED_SPECIMEN","MO","MO","NA","Portulaca",198.749908,90,346,5642.216797,314.749908,56,259,260,111.749908,268.749908,111.749908,271.381409,62.716465,3,92,173.683029,10.233185,169.165527,10.233185,19.8749908,NA
"Portulaca L.",-67.1,-31.41666,"ARG","NA","1259524832","Portulacaceae","Portulaca","GENUS","Portulaca L.","NULL",1971,"PRESERVED_SPECIMEN","MO","MO","NA","Portulaca",198.749908,90,346,5642.216797,314.749908,56,259,260,111.749908,268.749908,111.749908,271.381409,62.716465,3,92,173.683029,10.233185,169.165527,10.233185,19.8749908,NA
"Portulaca L.",-67.2,-31.45,"ARG","NA","1259713018","Portulacaceae","Portulaca","GENUS","Portulaca L.","NULL",1998,"PRESERVED_SPECIMEN","MO","MO","NA","Portulaca",195.766434,91,349,5657.283203,312.766418,52,261,257.766418,126,266,109,284.499481,66,4,91.750267,184,12,176.249741,13,19.5766434,NA
"Portulaca L.",-67.1,-31.41666,"ARG","NA","1259524893","Portulacaceae","Portulaca","GENUS","Portulaca L.","NULL",1971,"PRESERVED_SPECIMEN","MO","MO","NA","Portulaca",198.749908,90,346,5642.216797,314.749908,56,259,260,111.749908,268.749908,111.749908,271.381409,62.716465,3,92,173.683029,10.233185,169.165527,10.233185,19.8749908,NA
"Portulaca obtusa",-65.449722,-31.416389,"ARG","NA","2248048373","Portulacaceae","Portulaca","SPECIES","Portulaca obtusa Poelln.","750",2012,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",196.449921,86,351.247528,5296.49707,309,65,244,263.449921,132.449921,263.449921,115,516.744629,98.697449,6,80,294.844818,19,294.844818,21,19.6449921,NA
"Portulaca obtusa",-64.201111,-31.415278,"ARG","NA","2248045589","Portulacaceae","Portulaca","SPECIES","Portulaca obtusa Poelln.","1000",1950,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",177.945328,87,369,5028.264648,286.945312,51.945328,235,230.945328,101.683334,242.945328,101.683334,809.718262,150.408997,9.738008,72,409.922363,29.792681,404.203125,29.792681,17.7945328,NA
"Portulaca obtusa",-64.196667,-31.393333,"ARG","NA","2248049564","Portulacaceae","Portulaca","SPECIES","Portulaca obtusa Poelln.","1000",1960,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",179,87,368,5030.709473,288,53,235,232.683258,102.709656,244,102.709656,686.803467,125.984894,8,71.373665,344.607391,25,339.260132,25,17.9,NA
"Portulaca umbraticola",-64.196667,-31.393333,"ARG","NA","2248049959","Portulacaceae","Portulaca","SPECIES","Portulaca umbraticola Kunth","1000",1960,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",179,87,368,5030.709473,288,53,235,232.683258,102.709656,244,102.709656,686.803467,125.984894,8,71.373665,344.607391,25,339.260132,25,17.9,NA
"Portulaca obtusa",-64.190833,-31.390833,"ARG","NA","2248050716","Portulacaceae","Portulaca","SPECIES","Portulaca obtusa Poelln.","NULL",2015,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",178.38324,87,368.61676,5026.682617,287.38324,52.383236,235,231.530121,102.146881,243.38324,102.146881,710.908813,130.694778,8.380379,71.236359,357.470428,26.141136,351.144562,26.141136,17.838324,NA
"Portulaca umbraticola",-64.201111,-31.415278,"ARG","NA","2248045578","Portulacaceae","Portulaca","SPECIES","Portulaca umbraticola Kunth","1000",1950,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",177.945328,87,369,5028.264648,286.945312,51.945328,235,230.945328,101.683334,242.945328,101.683334,809.718262,150.408997,9.738008,72,409.922363,29.792681,404.203125,29.792681,17.7945328,NA
"Portulaca cryptopetala",-64.201111,-31.415278,"ARG","NA","2248049028","Portulacaceae","Portulaca","SPECIES","Portulaca cryptopetala Speg.","1000",1950,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",177.945328,87,369,5028.264648,286.945312,51.945328,235,230.945328,101.683334,242.945328,101.683334,809.718262,150.408997,9.738008,72,409.922363,29.792681,404.203125,29.792681,17.7945328,NA
"Portulaca eruca",-65.034722,-31.33,"ARG","NA","2248047219","Portulacaceae","Portulaca","SPECIES","Portulaca eruca Hauman","NULL",2009,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",152.674896,86,361.404236,5095.71582,262.299835,25.299837,237,217.674896,90.704063,217.674896,74.704063,610.225586,116.183472,7,78.320915,338.550415,21,338.550415,22,15.2674896,NA
"Portulaca obtusa",-65.074444,-31.4325,"ARG","NA","2248045586","Portulacaceae","Portulaca","SPECIES","Portulaca obtusa Poelln.","1000",1951,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",149.616699,86,362.223633,5094.966309,259.033264,22.033253,237,214.616699,87.616692,214.616699,71.616692,598.6073,114.576225,7,78.480522,335.009064,21.15967,335.009064,22.319338,14.9616699,NA
"Portulaca quadrifida",25.125,-31.375,"ZAF","NA","462186430","Portulacaceae","Portulaca","SPECIES","Portulaca quadrifida L.","NULL",1948,"PRESERVED_SPECIMEN","SANBI","PRECIS","NA","Portulaca",140.865707,127,471.966553,4855.632324,269.366272,-0.383975,269.766449,184.366272,66.616028,201.366272,66.616028,447.734528,72.916801,12.483234,56.016277,216.033691,39.449703,198.600342,39.449703,14.0865707,NA
"Portulaca eruca",-64.591944,-31.355,"ARG","NA","2248049495","Portulacaceae","Portulaca","SPECIES","Portulaca eruca Hauman","610",1950,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",153.893494,86,366.556824,5031.895508,262.3797,27.41997,235,218.3797,76.936523,218.3797,76.936523,924.33136,175.556152,10.556831,75,480.835052,32.670494,480.835052,32.670494,15.3893494,NA
"Portulaca eruca",-64.608333,-31.357222,"ARG","NA","2248051714","Portulacaceae","Portulaca","SPECIES","Portulaca eruca Hauman","NULL",1950,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",146.369446,86,367.483246,5015.921875,254.538559,20.369448,234.335922,210.538559,72.255997,210.538559,69.719391,982.78717,186.161331,11.169106,75,513.4505,34.833183,513.4505,35.002289,14.6369446,NA
"Portulaca eruca",-64.656389,-31.355833,"ARG","NA","2248048838","Portulacaceae","Portulaca","SPECIES","Portulaca eruca Hauman","NULL",2014,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",127.729187,86,369.249969,4973.1875,234.729187,1.979147,233,190.729187,51.729187,190.729187,51.729187,1041.02063,196.295761,12,75,546.520752,38,546.520752,38,12.7729187,NA
"Portulaca confertifolia",-64.58333,-31.36166,"ARG","NA","1259591559","Portulacaceae","Portulaca","SPECIES","Portulaca confertifolia Hauman","NULL",2004,"PRESERVED_SPECIMEN","MO","MO","NA","Portulaca",155.634613,86,366.426147,5037.299316,264.208466,29.634617,235,220.208481,79.090981,220.208481,79.090981,928.868835,175.865189,10.426143,75,483.360565,32.734791,483.360565,32.734791,15.5634613,NA
"Portulaca cryptopetala",-64.583333,-31.361667,"ARG","1","1259591628","Portulacaceae","Portulaca","SPECIES","Portulaca cryptopetala Speg.","NULL",2004,"PRESERVED_SPECIMEN","MO","MO","NA","Portulaca",155.633423,86,366.42688,5037.296387,264.206543,29.633417,235,220.206558,79.089897,220.206558,79.089897,928.901733,175.870346,10.426866,75,483.377747,32.737076,483.377747,32.737076,15.5633423,NA
"Portulaca cryptopetala",-63.609722,-31.338611,"ARG","NA","2248049649","Portulacaceae","Portulaca","SPECIES","Portulaca cryptopetala Speg.","1000",1955,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",183,88,376,4969.344238,292.309265,58,234.350082,248,122,248,108,822.583557,140.92421,12,68,400.924194,36,400.924194,38,18.3,NA
"Portulaca obtusa",-63.609722,-31.338611,"ARG","NA","2248045583","Portulacaceae","Portulaca","SPECIES","Portulaca obtusa Poelln.","1000",1955,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",183,88,376,4969.344238,292.309265,58,234.350082,248,122,248,108,822.583557,140.92421,12,68,400.924194,36,400.924194,38,18.3,NA
"Portulaca umbraticola",-63.609722,-31.338611,"ARG","NA","2248045568","Portulacaceae","Portulaca","SPECIES","Portulaca umbraticola Kunth","1000",1955,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",183,88,376,4969.344238,292.309265,58,234.350082,248,122,248,108,822.583557,140.92421,12,68,400.924194,36,400.924194,38,18.3,NA
"Portulaca umbraticola",-62.794167,-31.2325,"ARG","NA","2248049869","Portulacaceae","Portulaca","SPECIES","Portulaca umbraticola Kunth","1000",1964,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",186,91,385.516937,4973.966309,297,60,237,252,126,252,112,818.916931,125.916946,15,61,367.916931,46,367.916931,53,18.6,NA
"Portulaca eruca",-64.583611,-31.198611,"ARG","NA","2248045538","Portulacaceae","Portulaca","SPECIES","Portulaca eruca Hauman","NULL",1976,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",146.633255,86,366.836426,5010.416504,254.786301,20.633249,234.163574,210.786301,70.469681,210.786301,70.469681,831.858887,155.6884,9,74.153061,426.171204,28.483402,426.171204,28.483402,14.6633255,NA
"Portulaca quadrifida",22.625,-31.125,"ZAF","NA","462186464","Portulacaceae","Portulaca","SPECIES","Portulaca quadrifida L.","NULL",1978,"PRESERVED_SPECIMEN","SANBI","PRECIS","NA","Portulaca",164.516693,129,450,5566.882812,304,16.516695,288,215.516693,128,234.766449,81.766449,209.001251,41.750313,6,61,115.500626,19,77.508171,21.500629,16.4516693,NA
"Portulaca eruca",-65.267778,-31.093056,"ARG","NA","2248046859","Portulacaceae","Portulaca","SPECIES","Portulaca eruca Hauman","NULL",2009,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",158.365891,85,356,5144.0625,268.766724,30.365892,238.383362,223.365891,96.766724,223.365891,79.116699,867.050842,164.650024,9,79.400833,483.451691,29,483.451691,32,15.8365891,NA
"Portulaca eruca",-64.794167,-31.064167,"ARG","NA","2248047879","Portulacaceae","Portulaca","SPECIES","Portulaca eruca Hauman","NULL",2009,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",139.952438,85,364.143616,5021.313477,248.808823,13.952438,234.639694,204.592133,79.769096,204.592133,63.769093,935.69043,176.237305,10.183345,77,499.911835,31.36669,499.911835,34,13.9952438,NA
"Portulaca obtusa",-64.291944,-30.960278,"ARG","NA","2248045761","Portulacaceae","Portulaca","SPECIES","Portulaca obtusa Poelln.","NULL",2005,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",159.966888,86,368,4997.787598,268.103851,33.620419,235,224.103867,91.359261,224.103867,83.620415,954.171875,171.64592,10.863024,73,478.937775,33.60342,478.937775,34.589073,15.9966888,NA
"Portulaca bicolor",151.009722,-31.006944,"AUS","NA","2437076583","Portulacaceae","Portulaca","SPECIES","Portulaca bicolor F.Muell.","NULL",1994,"PRESERVED_SPECIMEN","NE","NE","NA","Portulaca",153.347855,90,398.467102,4835.325684,259.814941,34.131538,225.316528,215.347855,169.031281,215.347855,82.031326,812.755859,108.634003,43.467293,27.683466,307.851562,144.668655,307.851562,155.316895,15.3347855,NA
"Portulaca bicolor",150.9075,-30.93,"AUS","NA","2436768694","Portulacaceae","Portulaca","SPECIES","Portulaca bicolor F.Muell.","10",2013,"PRESERVED_SPECIMEN","DNA","DNA","NA","Portulaca",167.562302,91,396.569305,4937.853516,275.180206,46.131626,229,230.562302,183.562302,230.562302,94.562309,660.310669,84.250473,32.95142,26.465406,239.286285,105.90284,239.286285,140.286285,16.7562302,NA
"Portulaca bicolor",150.916667,-30.933333,"AUS","NA","2827116565","Portulacaceae","Portulaca","SPECIES","Portulaca bicolor F.Muell.","NULL",1993,"PRESERVED_SPECIMEN","NE","NE","NA","Portulaca",163.716232,91,396.750336,4921.530762,271.216797,42.466572,228.750214,226.716232,179.716232,226.716232,90.983307,700.069641,87.533295,33.766647,27.249783,251.350372,108.299942,251.350372,149.800644,16.3716232,NA
"Portulaca bicolor",150.92,-30.93,"AUS","NA","2829118063","Portulacaceae","Portulaca","SPECIES","Portulaca bicolor F.Muell.","NULL",1993,"PRESERVED_SPECIMEN","NSW","NSW","NA","Portulaca",163.089706,91,396.923767,4916.851562,270.937103,42.013466,228.92363,226.089706,179.089706,226.089706,90.930161,706.108215,87.986404,33.993202,27.076376,252.883087,108.979607,252.883087,150.827118,16.3089706,NA
"Portulaca eruca",-64.55,-30.8625,"ARG","NA","2248044443","Portulacaceae","Portulaca","SPECIES","Portulaca eruca Hauman","NULL",1994,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",152.582993,86,364.983307,5017.67334,261.066284,26.066277,235,216.582993,92.058205,216.582993,75.583,665.900696,120.716919,7.47521,75,345.200348,22.433697,345.200348,23.449833,15.2582993,NA
"Portulaca obtusa",-64.966667,-30.85,"ARG","NA","2248044455","Portulacaceae","Portulaca","SPECIES","Portulaca obtusa Poelln.","NULL",1995,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",184.733032,85,354,5170.150879,295.733032,56.483303,239.233597,250.733032,114.783813,250.733032,105.483307,557.485718,104.550087,6,78.249718,302.651367,18.516695,302.651367,19.550085,18.4733032,NA
"Portulaca L.",-65.298611,-30.763889,"ARG","NA","2248049340","Portulacaceae","Portulaca","GENUS","Portulaca L.","NULL",2014,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",197.221634,84,347,5268.088867,309.269104,67.221626,242.269119,263.269104,134.269119,263.269104,115.269112,653.722717,122.766556,6,80.269112,364.094666,20,364.094666,23,19.7221634,NA
"Portulaca umbraticola",-65.301111,-30.776111,"ARG","NA","2248048806","Portulacaceae","Portulaca","SPECIES","Portulaca umbraticola Kunth","NULL",2014,"PRESERVED_SPECIMEN","CORD","NA","NA","Portulaca",195.622986,84,347,5264.156738,307.859375,65.622978,242,261.859375,133.239578,261.859375,114.239578,677.798767,127.230057,6.616625,80,377.39621,21.23325,377.39621,23,19.5622986,NA
"Portulaca confertifolia",-67.484555,-30.738083,"ARG","1","2425457453","Portulacaceae","Portulaca","SPECIES","Portulaca confertifolia Hauman","NULL",2018,"PRESERVED_SPECIMEN","MO","MO","NA","Portulaca",165.913177,93,360.629883,5467.066895,281.283295,21.932899,259,224.28331,87.835114,233.28331,81.913185,156.920334,41.413673,2,100.403671,112.280457,6.629879,105.173927,7,16.5913177,NA
"Portulaca quadrifida",30.375,-30.625,"ZAF","NA","2005453488","Portulacaceae","Portulaca","SPECIES","Portulaca quadrifida L.","NULL",1970,"PRESERVED_SPECIMEN","NA","NA","NA","Portulaca",195.283218,67,449.249695,2578.717529,262.016205,113.016205,149.24968,225,156.016205,230.766449,156.016205,1192.029907,145.216293,36.933075,42.283218,424.181793,112.0327,406.44873,112.0327,19.5283218,NA
"Portulaca hereroensis",25.875,-30.375,"ZAF","NA","462186097","Portulacaceae","Portulaca","SPECIES","Portulaca hereroensis Schinz","NULL",1990,"PRESERVED_SPECIMEN","SANBI","PRECIS","NA","Portulaca",157,130,448,5445.484375,291,1,290,223,73,225,73,428.217407,73.750313,11,58,205.500626,37,163,37,15.7,NA
