"species","CHELSA_BIOL_01","CHELSA_BIOL_02","CHELSA_BIOL_03","CHELSA_BIOL_04","CHELSA_BIOL_05","CHELSA_BIOL_06","CHELSA_BIOL_07","CHELSA_BIOL_08","CHELSA_BIOL_09","CHELSA_BIOL_10","CHELSA_BIOL_11","CHELSA_BIOL_12","CHELSA_BIOL_13","CHELSA_BIOL_14","CHELSA_BIOL_15","CHELSA_BIOL_16","CHELSA_BIOL_17","CHELSA_BIOL_18","CHELSA_BIOL_19","clade","MAT"
"Portulaca amilis",203.632729245614,76.0429615789474,358.851350210526,5012.34371145614,304.884873210526,84.5343116491228,220.302644421053,260.816322491228,169.230266807018,267.321442754386,132.381645824561,1274.6162612807,175.334807438596,55.3658370175439,38.2951415087719,506.887524,177.236372824561,463.685497087719,233.577548684211,"Portulaca",20.3632729245614
"Portulaca australis",251.651502646341,83.3246674390244,460.659838780488,2932.99872726829,332.875435487805,153.239732109756,179.62065695122,276.038954390244,218.449583939024,286.051850353659,203.898208256098,965.626344865854,228.029384121951,6.77860390243902,97.9568523414634,656.28608802439,22.420071695122,334.027597170732,30.230930804878,"Portulaca",25.1651502646341
"Portulaca bicolor",250.198224529032,90.5566704967742,477.755067241935,2904.9949474871,336.147517609677,146.012238370968,190.114797077419,271.85912893871,217.202966264516,284.746708058065,202.118792748387,981.175723658064,229.724323470968,6.75907904193548,98.6888468967742,666.647800377419,23.1024306967742,293.816947793548,30.9049595580645,"Portulaca",25.0198224529032
"Portulaca confertifolia",162.383792454545,95.816674,394.343245,4873.94200536364,268.943645181818,26.0951925454545,242.993454,215.611784545455,99.8098526363636,221.766668181818,87.1488660909091,254.621342,58.7096947272727,2.85692209090909,95.1162518181818,162.156259727273,9.58569945454546,151.563305181818,10.7921613636364,"Portulaca",16.2383792454545
"Portulaca cryptopetala",210.067463703704,81.1849682962963,438.096774592593,3583.91147181481,296.805353777778,108.725328148148,188.185078962963,236.951657333333,167.693159555556,255.112952333333,155.998329703704,1229.09979362963,167.706977259259,46.975673037037,47.0827297777778,472.863220222222,148.275751185185,413.750969259259,184.325801962963,"Portulaca",21.0067463703704
"Portulaca decipiens",262.662074564103,107.099037769231,440.046730205128,4475.388747,367.958976564103,123.21081874359,244.766171153846,303.055713384615,212.10650674359,312.110116051282,188.446017538462,464.350909923077,120.202623051282,2.11092538461538,101.049884025641,338.579728358974,9.19606497435897,172.818612897436,17.0995805641026,"Portulaca",26.2662074564103
"Portulaca digyna",267.494854106061,104.657509204545,462.477315727273,3797.19727124242,365.442518287879,137.680386977273,227.713948242424,296.24728880303,222.475402227273,309.49165530303,203.087679765152,586.637219765151,153.65138730303,1.52270545454545,107.627625015152,439.094836606061,7.660755,170.556784810606,14.8054862727273,"Portulaca",26.7494854106061
"Portulaca elatior",247.88178300565,76.6093434011299,615.176053124294,1380.4238518983,310.82662679096,186.367842361582,124.508895412429,253.194211101695,240.332057327684,263.466650220339,226.048638830508,733.295911864407,131.309454841808,15.2231287853107,65.7868719096045,367.909506457627,49.8753466723164,197.43371779096,130.979265090395,"Portulaca",24.788178300565
"Portulaca eruca",170.40583495,84.6,404.3568451,4341.7484803,268.8755456,53.8677493,215.0598732,223.42615445,109.85698315,224.96224525,103.486379,895.1947571,163.39347835,12.02822805,71.51452085,465.87481085,39.6406002,438.3593201,40.8073231,"Portulaca",17.040583495
"Portulaca filifolia",247.224116985663,104.767325580645,434.336640383513,4632.89033405735,354.792442182796,110.862095322581,243.934228351254,292.851916136201,203.250630200717,301.080200082437,172.758489154122,513.083250971326,120.444481985663,5.90324281362007,85.5771644874552,342.336186290323,20.2799560609319,203.433135634409,29.6286756272401,"Portulaca",24.7224116985663
